,player_name,player_total_points,player_raids_total,player_raid_points_touch,player_raid_points_raid_bonus,player_tackle_points_total,player_tackle_points_touch,player_raids_successful,player_raids_unsuccessful,player_raids_Empty
794,Tejeswini Bai,11,54,8,2,1,1,7,6,41
795,Terukazu Nitta,7,8,2,3,2,2,4,3,1
796,Tetsuro Abe,12,1,0,0,12,12,0,1,0
797,Thomas Sharp,21,42,17,3,1,1,16,12,14
798,Tin Phonchoo,23,22,4,2,17,17,5,6,11
799,Tomczak Krzysztof,5,0,0,0,5,5,0,0,0
800,Tope Adewalure,55,69,45,6,4,4,39,15,15
801,Troy Bacon,23,45,14,8,1,1,15,17,13
802,Tuhin Tarafder,30,38,23,0,7,7,21,4,13
803,Tushar Bhoir,3,0,0,0,3,2,0,0,0
804,Tushar Patil,139,320,100,35,4,4,109,93,118
805,Twaney Harding,0,0,0,0,0,0,0,0,0
806,Umesh Mhatre,28,67,15,4,9,7,16,15,36
807,Usha Rani Narasimhaiah,0,1,0,0,0,0,0,1,0
808,Usha rani,0,0,0,0,0,0,0,0,0
809,Usharani,0,2,0,0,0,0,0,2,0
810,V. Ajith Kumar,58,102,50,8,0,0,50,29,23
811,V. Satyanarayana,0,0,0,0,0,0,0,0,0
812,Vaibhav Kadam,0,0,0,0,0,0,0,0,0
813,Vaibhav Kale,0,0,0,0,0,0,0,0,0
814,Varinder Singh,5,0,0,0,5,5,0,0,0
815,Vasanth,0,0,0,0,0,0,0,0,0
816,Venkatesh R,4,0,0,0,4,4,0,0,0
817,Venkatesha,0,5,0,0,0,0,0,2,3
818,Victor Obiero,27,45,18,5,4,4,16,15,14
819,Vijay,159,234,58,43,58,54,80,38,116
820,Vijay Kumar,15,9,2,1,12,9,1,1,7
821,Vijay Malik,5,22,5,0,0,0,4,9,9
822,Vijay Rajput,0,1,0,0,0,0,0,0,1
823,Vijaya Prabakar,0,0,0,0,0,0,0,0,0
824,Vijendar Singh,0,0,0,0,0,0,0,0,0
825,Vijender Singh,0,0,0,0,0,0,0,0,0
826,Vijendra Singh,11,3,0,1,10,9,0,2,1
827,Vijin Thangadurai,32,5,0,0,32,27,0,2,3
828,Vikas,62,88,22,8,32,29,26,27,35
829,Vikas Chhillar,1,2,1,0,0,0,1,1,0
830,Vikas Chowdary,0,0,0,0,0,0,0,0,0
831,Vikas Jaglan,70,107,22,17,31,31,25,23,59
832,Vikas Kale,90,11,0,0,90,83,0,1,10
833,Vikas Kandola,45,107,34,11,0,0,34,24,49
834,Vikas Kumar,0,0,0,0,0,0,0,0,0
835,Vikas Tomar,0,1,0,0,0,0,0,0,1
836,Vikash,5,0,0,0,5,5,0,0,0
837,Vikash Kandola,107,216,91,12,4,4,86,39,91
838,Vikash Khandola,200,408,144,51,5,5,160,91,157
839,Vikash Khatri,9,6,0,1,8,6,1,2,3
840,Vikash Kumar,6,17,3,3,0,0,4,6,7
841,Vikram Kandola,1,1,0,0,1,1,0,0,1
842,Vikrant,3,5,1,2,0,0,1,3,1
843,Vilam Singh,0,0,0,0,0,0,0,0,0
844,Vimal Raj,0,0,0,0,0,0,0,0,0
845,Vimal Raj V,2,10,2,0,0,0,2,4,4
846,Vinay,57,125,45,8,4,4,39,27,59
847,Vinay Kumar,0,0,0,0,0,0,0,0,0
848,Vineet Kumar,30,104,6,10,14,13,16,14,74
849,Vineet Sharma,31,107,16,5,10,9,18,27,62
850,Vinka D. Desak Gede Indah,1,5,0,1,0,0,0,3,2
851,Vinod,26,1,0,0,26,26,0,1,0
852,Vinod Atyalkar,0,2,0,0,0,0,0,2,0
853,Vinod Kumar,186,351,82,32,72,63,85,84,182
854,Vinod Paulyas,0,0,0,0,0,0,0,0,0
855,Vinoth Kumar,29,87,22,7,0,0,24,31,32
856,Vinoth Paulyas,2,10,2,0,0,0,2,3,5
857,Vipin,0,0,0,0,0,0,0,0,0
858,Vipin Malik,12,34,10,0,2,2,8,7,19
859,Vipul Mokal,5,0,0,0,5,5,0,0,0
860,Vir Singh Yadav,0,1,0,0,0,0,0,0,1
861,Viraj Vishnu Landge,28,0,0,0,28,28,0,0,0
862,Virender,8,11,5,3,0,0,3,6,2
863,Virender Singh,0,0,0,0,0,0,0,0,0
864,Virender Wazir Singh,7,17,5,1,1,1,4,5,8
865,Vishal,53,21,4,1,48,40,4,4,13
